name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,16742,4506007632,,,,,motorway,1,103.7371176,35.6502191,,,
,16743,4506007649,,,,,motorway,0,103.7348018,35.6518189,,,
,16744,4506007650,motorway_junction,,,,motorway,0,103.7345893,35.6518452,,,
,16746,4506398760,,,,,primary,0,103.7799529,35.5828759,,,
,16747,4506398761,,,,,primary,0,103.7800446,35.5829047,,,
,16750,4506399312,,,,,secondary,1,103.7547339,35.624618,,,
,16755,4506400334,,,,,secondary,1,103.6824489,35.680389,,,
,16757,4508006841,,,,,trunk,0,107.1757657,36.7802499,,,
,16761,4508351183,,,,,motorway,0,103.6977788,35.6932406,,,
,16762,4508351184,,,,,motorway,0,103.6976761,35.6931798,,,
,16766,4508698430,,,,,secondary,1,106.7613383,35.5187579,,,
,16770,4508698636,,,,,secondary,1,106.5726773,35.5476298,,,
,16771,4508698683,,,,,secondary,0,106.6572753,35.5493583,,,
,16772,4508698754,,,,,secondary,0,106.6850408,35.5512524,,,
,16773,4508698755,,,,,secondary,0,106.628527,35.5532676,,,
,16774,4508698756,,,,,secondary,0,106.628546,35.5534147,,,
,16784,4511028128,,,,,secondary,0,104.9144188,35.026868,,,
,16786,4511028476,,,,,secondary,1,104.9162452,35.0340335,,,
,16787,4511028519,,,,,secondary,0,104.9385041,35.0359289,,,
,16788,4511195253,,,,,secondary,1,106.1084001,35.4035171,,,
,16791,4511195598,,,,,secondary,0,106.102056,35.4455543,,,
,16798,4513346337,,,,,trunk,1,105.5455525,34.9767661,,,
,16799,4513346338,,,,,trunk,0,105.5456833,34.9771938,,,
,16801,4513944926,,,,,secondary,0,105.1845743,34.7489521,,,
,16802,4514001489,,,,,secondary,1,105.2296796,34.6787067,,,
,16805,4514189903,,,,,primary,0,105.0176674,35.3071652,,,
,16806,4514368463,,,,,primary,0,103.9159933,36.0557341,,,
,16807,4514368464,,,,,primary,0,103.9161731,36.0558412,,,
,16808,4515535179,,,,,secondary,0,105.6580948,34.715989,,,
,16809,4515535180,,,,,secondary,0,105.6582974,34.7160106,,,
,16811,4515535189,,,,,secondary,0,105.6572606,34.7161336,,,
,16813,4515535277,,,,,secondary,0,105.6608616,34.7178052,,,
,16815,4516952883,,,,,motorway,0,103.9358076,35.957677,,,
,16816,4516954443,,,,,motorway,0,103.8420454,35.9737544,,,
,16821,4516954483,,,,,motorway,0,103.7690572,35.9952509,,,
,16823,4516954495,,,,,motorway,0,103.7662736,35.9970549,,,
,16824,4516954504,,,,,motorway,0,103.7686561,35.9974517,,,
,16826,4516954513,,,,,motorway,0,103.7658114,35.9990383,,,
,16832,4516954682,motorway_junction,,,,motorway,0,103.6596965,36.068189,,,
,16836,4516954720,motorway_junction,,,,motorway,0,103.9295335,35.9570868,,,
,16837,4516954724,motorway_junction,,,,motorway,0,103.760929,36.0039493,,,
,16865,4518969746,,,,,motorway,0,105.6035,34.3176453,,,
,16866,4518969747,,,,,motorway,0,105.6053675,34.3185352,,,
,16868,4518969765,motorway_junction,,,,motorway,0,105.606816,34.3182048,,,
,16869,4518969766,,,,,trunk,0,105.6011074,34.3170653,,,
,16872,4518969777,motorway_junction,,,,motorway,0,105.6089267,34.3193685,,,
,16873,4518969778,,,,,motorway,0,105.6113562,34.3202653,,,
,16878,4518969797,,,,,trunk,0,105.6010373,34.3170104,,,
,16880,4518969802,,,,,motorway,0,105.6028323,34.3166564,,,
,16885,4518969833,,,,,motorway,0,105.6264,34.324698,,,
,16886,4518969837,,,,,motorway,0,105.6296522,34.328656,,,
,16887,4518969838,,,,,motorway,0,105.6281445,34.3270068,,,
,16888,4518969842,,,,,motorway,0,105.6306428,34.3303322,,,
,16889,4518969855,,,,,motorway,0,105.6315226,34.3309225,,,
,16906,4518970149,motorway_junction,,,,motorway,0,105.6910183,34.4480558,,,
,16907,4518970150,,,,,motorway,0,105.6909416,34.4476234,,,
,16928,4520754720,,,,,primary,0,104.3500098,34.8811318,,,
,16937,4523544731,,,,,secondary,1,104.0397197,35.4078047,,,
,16938,4523544739,,,,,secondary,1,104.0382338,35.4064405,,,
,16941,4523545836,,,,,secondary,0,103.856341,35.375724,,,
,16949,4523546120,,,,,primary,0,103.8507592,35.4017039,,,
,16958,4524434088,,,,,primary,1,105.6520363,34.5769044,,,
,16965,4528562489,,,,,secondary,1,104.9447247,34.9301604,,,
,16967,4529822659,crossing,,,,secondary,0,103.8224891,36.0636327,,,
,16968,4529822673,,,,,trunk,0,103.8146854,36.0634921,,,
,16974,4529950031,,,,,primary,0,107.0680099,35.3138183,,,
,16983,4530004529,,,,,secondary,0,107.0347351,35.1817367,,,
,16985,4530004596,,,,,secondary,0,107.1156055,35.1874139,,,
,17017,4530216977,,,,,motorway,0,105.4085058,34.235196,,,
,17018,4530216986,,,,,motorway,0,105.408652,34.2350886,,,
,17019,4530217032,,,,,motorway,0,105.4016001,34.2311708,,,
,17020,4530217033,,,,,motorway,0,105.4015494,34.231333,,,
,17027,4530217353,motorway_junction,,,,motorway,0,105.5013389,34.2820839,,,
,17028,4530217354,,,,,motorway,0,105.5002679,34.2814288,,,
,17030,4530217363,,,,,trunk,0,105.4956523,34.2745364,,,
,17031,4530217372,,,,,motorway,0,105.4979777,34.277952,,,
,17032,4530217375,,,,,trunk,0,105.4954869,34.2744851,,,
,17033,4530217381,,,,,motorway,0,105.497751,34.2781412,,,
,17034,4530217391,motorway_junction,,,,motorway,0,105.4934049,34.2776179,,,
,17037,4530217397,,,,,motorway,0,105.4976811,34.2800316,,,
,17047,4531962127,,,,,trunk,1,106.0050567,35.5872607,,,
,17050,4532950079,,,,,motorway,0,105.2662998,33.0647557,,,
,17052,4532950082,,,,,motorway,0,105.265623,33.0653658,,,
,17054,4535520936,,,,,trunk,0,105.0660135,35.6662188,,,
,17055,4535522494,,,,,trunk,0,105.1875457,35.5283233,,,
,17056,4535522495,,,,,secondary,0,105.1879278,35.5284911,,,
,17062,4537426060,,,,,secondary,1,106.4779088,35.7719643,,,
,17069,4537659645,,,,,secondary,0,103.2506797,35.9676689,,,
,17072,4537661263,,,,,trunk,0,103.3037277,35.9586959,,,
,17075,4537723117,,,,,motorway,1,103.1439668,35.5304367,,,
,17078,4539357455,,,,,trunk,0,103.3265155,35.6593518,,,
,17079,4539357456,,,,,trunk,0,103.3249057,35.6592721,,,
,17085,4539986758,,,,,secondary,1,106.5613029,35.4498878,,,
,17087,4541239377,,,,,trunk,0,105.6543748,34.8624042,,,
,17088,4541239491,,,,,primary,0,105.6562389,34.8629592,,,
,17089,4541239492,,,,,primary,0,105.656268,34.863061,,,
,17090,4541239493,,,,,trunk,0,105.6544488,34.8633706,,,
,17091,4541239495,,,,,secondary,0,105.647613,34.8644145,,,
,17094,4542531772,,,,,trunk,0,104.9529267,36.119424,,,
,17095,4542531773,,,,,secondary,0,105.0247628,36.1920055,,,
,17096,4542531776,,,,,secondary,0,105.0230948,36.2051299,,,
,17097,4542974113,,,,,secondary,0,105.3260603,36.2681548,,,
,17107,4544625452,,,,,secondary,0,105.1307843,35.8759155,,,
,17116,4545306717,,,,,primary,0,103.8114607,36.060172,,,
,17121,4546648770,,,,,secondary,0,105.1095143,36.0726042,,,
,17122,4546648943,,,,,secondary,1,105.1458123,36.013836,,,
,17123,4546722404,,,,,trunk,0,105.3410643,36.0142913,,,
,17127,4547158617,,,,,secondary,1,105.2278528,35.7856591,,,
,17128,4547976191,,,,,secondary,0,105.367043,35.7111248,,,
,17135,4550462364,,,,,trunk,0,100.730881,38.6626838,,,
,17138,4550463324,,,,,trunk,0,100.8285834,38.8384112,,,
,17139,4550463325,,,,,secondary,0,100.8273351,38.8383845,,,
,17140,4550886848,,,,,secondary,0,101.0767074,38.7876325,,,
,17146,4552200803,,,,,secondary,1,103.8885619,36.0578999,,,
