name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,196,458241388,,,school,,"POLYGON ((104.9716938 36.2015202, 104.9733032 36.2015505, 104.9734963 36.2025635, 104.9735231 36.2026414, 104.9716402 36.2025808, 104.9716938 36.2015202))",POINT (104.9725414 36.2020867),18633.8,200572.5
,197,426807243,,yes,,,"POLYGON ((103.7248217 36.0984876, 103.7248473 36.098588, 103.7257474 36.0984383, 103.7257219 36.0983379, 103.7248217 36.0984876))",POINT (103.7252846 36.098463),937.7,10093.7
,198,432941051,,yes,,,"POLYGON ((106.1002989 34.4082153, 106.1002982 34.4083156, 106.100366 34.408316, 106.1003666 34.4082156, 106.1002989 34.4082153))",POINT (106.1003324 34.4082656),70.0,753.4
,199,699215152,,yes,,,"POLYGON ((103.8558599 36.0809774, 103.8559742 36.080926, 103.8557258 36.0805656, 103.8556115 36.080617, 103.8558599 36.0809774))",POINT (103.8557929 36.0807715),538.7,5798.0
,200,781312924,,yes,,,"POLYGON ((107.6422285 35.7412026, 107.6426483 35.7412617, 107.6426678 35.7411707, 107.6422479 35.7411116, 107.6422285 35.7412026))",POINT (107.6424481 35.7411866),395.6,4258.0
,201,474171117,,yes,,,"POLYGON ((105.9267739 34.5583124, 105.9267526 34.5581385, 105.9266115 34.5581503, 105.9266329 34.5583242, 105.9267739 34.5583124))",POINT (105.9266927 34.5582313),252.5,2717.9
,202,742906884,,yes,,,"POLYGON ((103.2280675 35.5768991, 103.2281856 35.5768265, 103.2279897 35.5766155, 103.2278715 35.5766881, 103.2280675 35.5768991))",POINT (103.2280286 35.5767573),393.9,4240.0
,203,405637033,,apartments,,,"POLYGON ((103.759276 36.0898542, 103.7589877 36.0898924, 103.7589641 36.0897761, 103.7592525 36.089738, 103.759276 36.0898542))",POINT (103.7591201 36.0898152),344.0,3702.8
五一路小学,204,632098066,,,school,,"POLYGON ((98.28724200000001 39.7794165, 98.2878951 39.7783131, 98.2894156 39.7788661, 98.2887774 39.7799253, 98.28724200000001 39.7794165))",POINT (98.28832800000001 39.779128),19083.3,205410.9
,205,883822255,,yes,,,"POLYGON ((103.2601427 36.7368303, 103.2604974 36.7371023, 103.2606053 36.7370119, 103.2602506 36.7367399, 103.2601427 36.7368303))",POINT (103.260374 36.7369211),609.2,6557.7
